Prot_1,Prot_2
ELAVL2,PRR11
CDKN1A,VIM
CDKN1A,F13A1
APOD,TMEM237
FAM151B,TRIM15
CACFD1,PNKP
CACFD1,MTERF3
CACFD1,CREB3
CACFD1,SH3GLB1
CACFD1,HSFX1|HSFX2
CACFD1,NDRG4
CACFD1,TMEM159
CACFD1,PITPNC1
TMEM128,CD40
TMEM128,TMEM237
NUFIP2,CTTN
CABP2,AVPI1
SLC35B2,TMEM237
FBXO30,SMURF1
FBXO30,C16ORF70
FBXO30,DYNLL1
FBXO30,CASQ2
FBXO30,ACTC1
FBXO30,SKP1
FBXO30,CUL1
FBXO30,PEX19
FBXO30,DNALI1
FBXO30,PNKD
FBXO30,AURKA
FBXO30,ACVR1
FBXO30,SETDB1
FBXO30,QSOX2
SLC35B4,TMEM237
MBOAT1,EMD
MBOAT1,TMEM126A
MBOAT1,HSPA4
MBOAT1,SLC7A5
MBOAT1,PTDSS2
MBOAT1,CAV1
MBOAT1,TNPO1
MBOAT1,TBC1D4
MBOAT1,TECR
MBOAT1,DERL1
MBOAT1,CLINT1
MBOAT1,SLC35E1
MBOAT1,NR3C1
MBOAT1,SCAMP3
MBOAT1,SLC39A7
MBOAT1,SLC35F6
MBOAT1,SLC3A2
MBOAT1,ATP5F1A
MBOAT1,ATP5F1B
MBOAT1,TRAM1
MBOAT1,PRSS21
MBOAT1,SLC1A5
MBOAT1,YIPF5
SPSB2,VIM
SPSB1,VIM
CDC37,KSR2
CDC37,TNK2
CDC37,CTTN
CDC37,FGR
CDC37,PANX1
CDC37,CCDC138
CDC37,BTBD3
LONRF1,AVPI1
CDCA7L,AVPI1
ANKRD17,FOSL2
MEF2C,YWHAZ
MEF2C,EPAS1
MEF2C,HDAC5
MEF2C,HDAC7
MEF2C,HDAC9
MEF2C,PLA2G12A
MEF2C,JUN
MEF2C,COPS5
MEF2C,MAPK14
MEF2C,MEF2A
MEF2C,MAPK7
MEF2C,EP300
CCNA2,MTBP
RAI1,ZNF496
CBWD1,TSHR
DDRGK1,KIFC1
E2F1,TOPBP1
ABLIM1,VIM
RPGR,RPGRIP1L
WNT10B,PPP2R2D
WNT10B,JMJD8
WNT10B,FSTL1
WNT10B,PPP6R2
WNT10B,COL6A2
WNT10B,APP
DMC1,KCTD17
RNF19B,APOL3
MRPL44,VIM
TRIP6,RPGRIP1L
TM4SF19,TMEM237
POU3F3,CAV1
ZNF696,KCTD17
ARFGAP1,RFC3
UNC93B1,TMEM237
MPHOSPH9,RPGRIP1L
NEK4,RPGRIP1L
ZZZ3,ZNF496
MTHFD1,CAV1
NSD1,ZNF496
NSD2,PRR11
TIMMDC1,APOL3
GAS2L1,GPSM2
SLX4,TOPBP1
STX8,TMEM237
STX8,ACVR1
TM6SF2,TMEM237
RPS3A,PRR11
ECE2,CD86
DRG1,CLDN1
SNW1,ZNF830
AURKB,VIM
ERLIN2,RPGRIP1L
GTPBP2,IFI30
TXLNB,FAM167A
