Prot_1,Prot_2
RPA3,FOXP1
RPA2,FOXP1
NDUFS1,NEUROD1
COQ9,GPD2
ZRANB2,RSBN1L
HBD,ICAM2
REEP4,SQLE
HBB,APOA1
CHMP2A,STAMBP
RABAC1,NR3C2
PHC2,MAPKAPK2
BRICD5,IFNLR1
RNF7,UBE2F
ZFHX3,POU2F1
CLTA,STAMBP
CLTC,STAMBP
NGLY1,TCF12
ACTR5,TOMM20
CLUAP1,BBS7
FBF1,TJP2
PTPRU,FUT8
SEPTIN6,NR3C1
LMNA,PPARD
CPNE2,GBP7
NDEL1,PAFAH1B2
NDEL1,NDE1
SHANK1,STAT1
KLC4,NLN
ZDHHC17,COG3
ZDHHC17,RSBN1L
DUSP21,FAAP20
DUSP23,RRAS2
DUSP23,SMPD1
DUSP23,MTFR1
LARP7,DYNC1I2
CDKN1A,HOXD8
CDKN1A,RBL2
UBE2D3,UBA52
FERD3L,TCF12
SAP130,ARID4B
SAP130,MXD1
SAP130,MTA3
SAP130,MBD2
NDUFV2,SAMD3
NUFIP1,GPD2
NUFIP1,NCALD
MBOAT1,NR3C1
MBOAT7,CD200R1
SPSB2,NOS2
SPSB1,PRKN
SPSB1,ELOB
SPSB1,ELOC
SPSB1,CCK
SPSB1,ADPRH
SPSB1,VIM
SPSB1,HIP1
SPSB1,PECAM1
SPSB1,RAN
SPSB1,CRYAA2
SPSB1,HSP90AB1
SPSB1,NOS2
SPSB1,SUV39H1
SPSB1,PRMT1
SPSB1,PRMT6
SPSB1,LAMP2
SPSB1,PAWR
SPSB1,TARDBP
SPSB1,CASP6
SPSB1,UBE2K
SPSB1,VWA5A
SPSB1,HMOX2
SPSB1,HSP90AA1
SPSB1,PAK1
HMGXB4,ARID4B
HMGXB4,MTA3
HMGXB4,MBD2
CDC37,PRKCZ
CDC37,ZBTB20
S100A7,CA8
JARID2,LCOR
CCNA2,RBL2
DYNC1I1,DYNC1I2
CBWD1,IL12RB1
CBWD1,MTFR1
E2F6,E2F3
E2F5,E2F3
E2F4,RBL2
E2F4,E2F3
E2F3,TRIM28
E2F3,E2F2
E2F3,E2F1
E2F3,PCGF6
E2F3,RB1
E2F3,L3MBTL3
E2F3,TFDP3
E2F3,TFDP2
E2F3,TFDP1
E2F1,RBL2
EEF2,DAPK1
RLBP1,KLHL8
GNG10,CCR1
REV3L,REV1
HOGA1,LYRM4
CCND3,RBL2
RUVBL1,TTI1
RUVBL2,TTI1
TBP,FOXP1
PRR20B,POU2F1
PRR20C,POU2F1
PRR20D,POU2F1
PRR20E,POU2F1
NSD2,APOA1
TIMMDC1,NINJ1
TIMMDC1,ANKRD46
SLX4,SLX4IP
SLX4,ERCC4
RALGDS,RRAS2
NUDT12,TJP2
STX2,ANKRD46
STX4,ANKRD46
CASQ2,RIC8B
AURKA,MTA3
AURKB,MYL12B
AP1B1,LDLRAP1
GTPBP2,IFI30
BMF,TCF12
ABI2,COG3
ABI3,SUFU
RAB4B,LCOR
KRT31,MAB21L2
KRT34,MAB21L2
IL12RB1,TUBB8
IL12RB1,LOXL2
IL12RB1,SNRPD3
IL12RB1,ISOC2
IL12RB1,CRELD2
IL12RB1,TUBA1A
IL12RB1,TUBB3
IL12RB1,IL12B
IL12RB1,TRMT44
IL12RB1,TUBA4A
IL12RB1,HSPA5
IL12RB1,RAD51C
IL12RB1,TUBB4A
CLINT1,STAMBP
BRCA1,IFI30
BRCA1,STAT1
BRCA1,POU2F1
RBBP7,ARID4B
RBBP7,MTA3
RBBP7,MBD2
KIF23,TJP2
KIF23,RRAS2
KIF23,MYL12B
KIF23,MAPKAPK2
RBBP4,ARID4B
RBBP4,LCOR
RBBP4,MTA3
RBBP4,MBD2
ZACN,ERMP1
XRCC1,FOXP1
XRCC5,DYNC1I2
XRCC5,POU2F1
XRCC6,POU2F1
XRCC6,RRAS2
SMURF1,LDLRAD4
SMURF1,UBA52
SMURF1,STAT1
SMURF1,FERMT2
SMURF1,ETV6
SMURF2,LDLRAD4
SMURF2,RRAS2
SMURF2,IRF8
SMURF2,UBA52
MEIS1,MAB21L2
MIER1,CDYL
MIER2,CDYL
