Genes,Naive,Early_Extra_GC_Tfh,Late_Extra_GC_Tfh,GC Tfh
CHRNE,0.3280771114744582,0.2594912588444775,1.6450083836418699,1e-06
RAI1,3.990825263008444,2.7225739329507377,5.210964136562862,5.434500525921182
NUP88,26.82593382361063,18.155564154800647,15.955359008791438,24.787196038947254
C1QBP,110.61873678951048,75.86244026751757,45.791536947779946,44.771689670529
SLC6A4,0.5454505643708141,0.650593148558662,1e-06,1e-06
BLMH,24.60089299865495,10.732068546970213,7.148546409865745,10.51560104780463
CPD,5.44962987305995,4.828954864441935,27.10503276393113,31.862940817543272
GOSR1,15.277667866657067,10.506028522893507,19.296613116556625,8.474011210277677
CCDC47,26.094368550983376,21.0312310172919,14.918434224666532,44.239903582512426
MED31,5.267279249797463,7.214768208993857,20.31929993084967,3.6990254340894473
DRG2,19.8185813856816,20.803875126776678,11.508877391772891,18.08535093954531
FTSJ3,6.906395064585133,15.52982950375605,8.75444751563987,6.495383748929171
