	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
FOXD2	7.296976675698291e-4	1.7281489702912646e-4	1.9133524419203177e-4	1.8250318401606469e-4
FOXD3	3.970680369006985e-4	3.018046996086072e-4	3.2209401539067364e-4	3.691087626598435e-4
FOXD4	2.691790422591776e-5	2.350060422960586e-5	2.5558814054626017e-5	2.1124953960281086e-5
FOXD4L1	2.691790422591776e-5	2.350060422960586e-5	2.5558814054626017e-5	2.1124953960281086e-5
FOXD4L3	2.691790422591776e-5	2.350060422960586e-5	2.5558814054626017e-5	2.1124953960281086e-5
FOXD4L4	2.691790422591776e-5	2.350060422960586e-5	2.5558814054626017e-5	2.1124953960281086e-5
FOXD4L5	2.691790422591776e-5	2.350060422960586e-5	2.5558814054626017e-5	2.1124953960281086e-5
FOXD4L6	2.691790422591776e-5	2.350060422960586e-5	2.5558814054626017e-5	2.1124953960281086e-5
FOXE1	1.2597913974870826e-4	8.559663496852498e-5	9.295557574242831e-5	1.9895649494610805e-4
FOXE3	7.26024154072965e-5	6.581425223313415e-5	6.91660713794625e-5	6.939109241051574e-5
FOXF1	1.986418362003524e-4	1.1862238885975367e-4	1.3824264754783676e-4	1.3868658838632722e-4
FOXF2	1.225914797564871e-4	7.731535006196851e-5	7.647528738239466e-5	7.760750299580811e-5
FOXG1	1.0528325647818772e-4	9.897933907337774e-5	1.0334505913855586e-4	9.569553728490656e-5
FOXH1	6.719363440540744e-5	6.364035291467882e-5	5.8245595328366474e-5	8.64326955800382e-5
FOXI1	2.7110880272038804e-4	2.0485314972228704e-4	2.3478265643843643e-4	2.460981737334408e-4
FOXI2	1.228610796147935e-4	9.559754001330955e-5	8.409104513035245e-5	1.4510714073700148e-4
FOXI3	1.2023550737025803e-4	9.360743749659616e-5	8.222035205122035e-5	4.985424848095569e-4
FOXJ1	9.771772788223551e-5	9.918514338450388e-5	7.840780105976316e-5	9.440327309080814e-5
FOXJ2	1.9588444280972585e-3	3.8764759400565863e-3	1.1624789157720671e-3	1.2438420868979682e-3
FOXJ3	5.806381242256091e-3	5.468619302197386e-3	5.066060900624052e-3	6.329777511984537e-3
FOXK1	2.349069237556814e-3	8.697990202338136e-4	2.605513141414639e-3	3.7102954191473346e-3
FOXK2	5.410061605868748e-4	2.6927585454830004e-4	2.4004590635030165e-4	9.970659982963501e-5
FOXL1	1.1483651089636906e-4	9.7072954306638e-5	1.0617612457264779e-4	1.0316279286203492e-4
FOXL2	1.5425022343553443e-4	1.6817617123905383e-4	1.6718925529539175e-4	1.5174408727284253e-4
FOXM1	1.1093299595080898e-3	1.3078493689221366e-3	2.917553559034383e-4	8.704221267614082e-4
FOXN1	2.7558422604603705e-5	2.2374309605042165e-5	1.6131561449369616e-5	2.1196412159119163e-5
FOXN2	1.2371516511583942e-4	1.507522178523601e-4	8.662282729455637e-5	1.244176965641233e-4
FOXN3	2.161306376192275e-3	1.79023576164516e-3	1.3420298806766742e-3	3.110501075393307e-3
FOXN4	2.8262387625116976e-5	2.4822053595587177e-5	2.1614812090476557e-5	2.0111164513761024e-5
FOXO1	2.8685091704564606e-3	3.082376885752127e-3	3.8672018409970817e-3	4.620847492641094e-3
FOXO3	3.5456884180129545e-3	2.6508797956323674e-3	2.758702172151322e-3	3.10346293824283e-3
FOXO4	8.309719322141481e-4	9.479628423576195e-4	9.48412292574752e-4	7.401884546197985e-4
FOXO6	1.8579592436238467e-4	1.4960970435486652e-4	1.3649873795221326e-4	2.1674369903670914e-4
FOXP1	1.6681665991136966e-3	1.3865560826585614e-3	1.5306473921379454e-3	2.2396345394846097e-3
FOXP2	7.09354682736473e-4	5.729614486744363e-4	1.4865322175456222e-4	1.6998060394355627e-4
FOXP3	2.4065584048768056e-4	9.379107268139593e-4	9.469750907901751e-4	6.741671014817147e-4
FOXP4	1.6882203104741313e-4	2.4712458456363343e-4	7.042228914148166e-5	1.0327823142614661e-4
FOXQ1	1.5762416046040113e-4	9.140535872591492e-5	1.1852392419539037e-4	1.2371239380581773e-4
FOXR1	9.885232229843266e-5	7.569780651679546e-5	7.992397817720463e-5	8.054006340505906e-5
FOXR2	1.3487644750376118e-4	1.1002703621801032e-4	1.1396592236363452e-4	1.752691324088154e-4
FOXS1	1.0270987582272089e-4	9.059291148177365e-5	9.07038480007462e-5	8.233446501503917e-5
GABPA	3.4625305427835678e-3	1.1662754994578224e-3	1.085200494929014e-3	2.8891745147653696e-3
GATA1	1.467047307397905e-4	1.6671182892851247e-4	1.4248798744950067e-4	1.458447401848361e-4
GATA2	1.6528772825587213e-4	1.80160635284328e-4	2.0859142497679176e-4	1.9458895347014842e-4
GATA3	1.9666020682145395e-3	2.917834163417137e-3	3.0952928664733587e-3	1.686713034544315e-3
GATA4	1.9585304814000854e-4	1.6690086616484966e-4	1.9933953796345363e-4	2.0154891108700463e-4
GATA5	1.3932273227193012e-4	1.1070683133895587e-4	1.505282423578724e-4	1.4572058311666618e-4
GATA6	1.6593664464406295e-4	1.4443153435583634e-4	1.8401452780913318e-4	1.7146635941571393e-4
GBX1	3.274996742779107e-5	2.1977756317071237e-5	2.5466412760259325e-5	2.5673897605441678e-5
GBX2	1.1561900657422415e-4	9.27831473931802e-5	1.1352386044477755e-4	1.0206788159723053e-4
GCM1	1.0849956491419647e-4	6.878855816778087e-5	7.932377664097832e-5	8.599192383865711e-5
GCM2	4.364133973752033e-5	3.063967184210984e-5	2.9073595830196404e-5	3.0168623374138912e-5
