	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
HOXD11	2.0526855969893454e-3	1.082140422631217e-2	6.127920337035575e-3	7.722007722007707e-3
HOXD12	2.009921313718799e-3	1.0949216087252855e-2	6.127920337035575e-3	7.283257283257294e-3
HOXD13	0.0	0.0	0.0	0.0
HOXD3	1.0135135135135087e-2	3.689502385821408e-2	1.3277160730243875e-2	9.994734994735e-2
HOXD4	2.9079712624016096e-3	1.444274028629855e-2	7.362015404910882e-3	1.6102141102141143e-2
HOXD8	2.8224426958604054e-3	1.4016700749829636e-2	6.979020383846124e-3	8.555633555633602e-3
HOXD9	1.7105713308245285e-3	7.413087934560303e-3	5.106600280862961e-3	5.352755352755367e-3
HSF1	0.0	0.0	0.0	0.0
HSF2	0.0	0.0	0.0	0.0
HSF4	0.3565685939103661	0.5782634628493524	0.3882292863526108	0.5706388206388207
HSF5	1.2401642148477388e-3	0.0	0.0	4.3875043875041264e-5
HSFX1	1.0	1.0	1.0	1.0
HSFX2	1.0	1.0	1.0	1.0
HSFY1	0.7591943209031817	0.7902181322426721	0.6768798672283927	0.6041154791154791
HSFY2	0.9995723571672939	0.9984662576687117	1.0	0.9991224991224992
IKZF1	0.0	0.0	0.0	0.0
IKZF2	0.0	0.0	3.7448402059662156e-3	0.0
IKZF3	0.0	0.0	0.0	0.0
