Prot_1,Prot_2
BCL6,IRF4
BCL6,LIMS4
BCL6,WDR83
BCL6,NCOR2
BCL6,NCOR1
BCL6,KLHL20
BCL6,APEX1
BCL6,REL
BCL6,ZBTB17
BCL6,ARHGEF9
BCL6,BLZF1
BCL6,POF1B
BCL6,SMRP1
BCL6,TEKT4
BCL6,MDFI
BCL6,DVL2
BCL6,HBEGF
BCL6,GOLGA2
BCL6,CNOT2
BCL6,TRAF2
BCL6,CFAP97D1
BCL6,SIN3A
BCL6,TRAF1
BCL6,PFDN5
BCL6,SIAH1
BCL6,C7ORF31
BCL6,KRTAP13-2
BCL6,BCL11A
BCL6,TRIM27
BCL6,SSX2IP
BCL6,MTUS2
BCL6,TP53BP1
BCL6,KRTAP13-1
BCL6,BCOR
BCL6,ARRDC3
BCL6,USP7
BCL6,KIFC3
BCL6,GATA1
BCL6,ATP23
BCL6,TFIP11
BCL6,IHO1
BCL6,PPTC7
BCL6,UBC
BCL6,HSP90AA1
BCL6,BCL6B
BCL2,BCL2L1
BCL2,BAG3
BCL2,PRKN
BCL2,PMAIP1
BCL2,BBC3
BCL2,RAF1
BCL2,BNIPL
BCL2,CEBPB
BCL2,BCL2L11
BCL2,BIK
BCL2,KEAP1
BCL2,FKBP8
BCL2,BID
BCL2,HSP90AA1
BCL2,VIRMA
BCL2,BNIP3L
BCL2,SOD1
BCL2,RTN4
BCL2,NR4A1
BCL2,HIF1A
BCL2,HRK
BCL2,TP53BP2
BCL2,NLRP1
BCL2,ITPR1
BCL2,MDM4
BCL2,BNIP2
BCL2,BNIP3
BCL2,BCAP31
BCL2,SQSTM1
BCL2,BECN1
BCL2,PPP1CA
BCL2,PPP2CA
BCL2,APP
BCL2,CASP8
BCL2,CDK1
BCL2,TP53
BCL2,UBC
BCL2,PSEN1
BLID,CASP8
PLK1,CLU
PLK1,BIRC6
PLK1,CASP8
LYRM4,AGR2
KLHL23,BNIP3L
OAS1,ACTN1
STK11IP,ARID1B
SERPINB2,CA8
SERPINB5,ACTA2
SERPINB5,CASP8
PCGF1,CBX3
FAM76A,CCNL1
PCGF2,CBX3
PCGF5,CBX3
PCGF6,CBX3
MAGED1,CA8
ELP3,ATXN7L1
ELP1,ATXN7L1
CYFIP2,ABI1
CCDC87,KASH5
CCDC87,CDR2
CCDC87,CEP250
CCDC87,TRIM27
CCDC87,GOLGA2
CCDC87,USHBP1
CCDC87,KRT15
CCDC87,MEPCE
CCDC87,TRIM54
CCDC87,VIRMA
CCDC87,CDK9
CCDC87,STAT3
DPPA4,CIR1
DPPA4,CLU
RAC2,CHGB
SGTB,CD200R1
SGTB,AGR2
SGTB,AGR3
SGTA,AGR2
SGTA,BCL2L12
SGTA,AGR3
TRIM41,CEP44
PEX5,CAT
IVL,ACTA2
SCN3B,ANKRD46
SCN3B,AGPAT4
TBK1,CEP44
KNL1,ADGRE5
PFDN5,ANKRD55
DTNB,ABI1
POMK,CERS6
HIRA,ASF1B
RIPK1,CASP10
RIPK1,CFLAR
RIPK1,CASP8
CLPB,CHCHD10
NKAPD1,CCNL1
NKAPD1,ACTN1
SLC9A3R2,AHI1
SLC9A3R2,ACTN1
ZNF417,CEP44
ZNF417,CDR2
ACTN2,ABI1
ACTN1,MYH9
ACTN1,HSF5
ACTN1,KCTD6
ACTN1,IQGAP1
ACTN1,JUN
ACTN1,KIF14
ACTN1,PIAS4
ACTN1,CIT
ACTN1,PRC1
ACTN1,GABARAPL1
ACTN1,EIF2S1
ACTN1,ZYX
ACTN1,PDHX
ACTN1,APEX1
ACTN1,NCOA1
ACTN1,ECT2
ACTN1,PDLIM1
ACTN1,PSEN1
ACTN1,CACNA1C
ACTN1,DYNLT1
ACTN1,NR1H3
ACTN1,GADD45G
ACTN1,PSMA1
ACTN1,MED14
ACTN1,TTN
ACTN1,VIRMA
ACTN1,YAP1
ACTN1,GIT2
ACTN1,TSC1
ACTN1,MAPRE1
ACTN1,USP2
ACTN1,LNX1
ACTN1,PDLIM4
ACTN1,RPS27
ACTN1,PDLIM7
ACTN1,APPBP2
ACTN1,TXN
ACTN1,PKN1
ACTN1,GTF2H1
ACTN1,ANLN
ACTN1,Q7Z763
ACTN1,FXR1
ACTN1,MCM5
ACTN1,FXN
ACTN1,MCM2
ACTN1,ATXN7
ACTN1,SYNPO2L
ACTN1,COIL
ACTN1,SHANK3
ACTN1,CTNNA1
ACTN1,CBY2
ACTN1,CAPZA2
ACTN1,MAGEA11
ACTN1,MYOZ1
ACTN1,ESR2
ACTN1,ESR1
ACTN1,ARX
ACTN1,B2R8Y4
ACTN1,MICALL2
ACTN1,PPP1CB
ACTN1,CBL
ACTN1,CACNA1A
ACTN1,KPNA2
ACTN1,UBC
ACTN1,MYOZ2
ACTN1,NUMBL
ACTN1,ATXN2
ACTN1,CFTR
ACTN1,SYNPO
ACTN1,KIF20A
PTPRQ,AHI1
PTPRA,AMFR
HAUS7,CEP44
PTPRM,AMFR
PTPRK,ANKRD46
PTPRK,B3GLCT
PTPRK,ARSB
GPR152,ANKRD46
GPR152,CLEC17A
RNASEH1,CHCHD10
MGC50722,CDR2
GSTZ1,CLVS2
MAP1LC3A,ACTA2
MAP1LC3A,ACTBL2
MAP1LC3A,BNIP3L
MAP1LC3A,ATG3
MAP1LC3C,ACTA2
MAP1LC3C,ATG3
MAP1LC3B,ACTA2
MAP1LC3B,ACTBL2
MAP1LC3B,BIRC6
MAP1LC3B,ATG3
MAP1LC3B,CASP8
GDI1,ACAP2
CBY2,CEP44
ARL5B,AKAP14
ERLIN1,AMFR
ERLIN1,AGR3
SPDL1,CA8
TLE1,ARL3
TLE5,AGR2
TLE5,CCNJL
PLP1,CLDN20
GET3,AGR2
COX5B,CDR2
TM9SF4,CEP44
PHF12,ARID4B
ADGRL1,NRG1
ADGRL1,CD1B
ADGRL1,VSIG4
ADGRL1,CACNA1A
ADGRL1,EDIL3
ADGRL1,SHANK2
ADGRL1,PSMA3
ADGRL1,VIRMA
ADGRL1,TMEM30A
ADGRL1,SHANK3
ADGRL1,KIF20A
SPANXB1,ARID4B
COX5A,CHCHD10
HTT,CCDC7
P2RY12,CERS6
MBD3,ARID4B
MBD3,AGR2
MBD2,ARID4B
